Location	Male	Female	Total
Alabama	2284900	2456500	4741400
Alaska	364500	345600	710100
Arizona	3363200	3478100	6841300
Arkansas	1422700	1487200	2910000
California	19113000	19600800	38713900
Colorado	2723500	2737600	5461100
Connecticut	1692100	1786600	3478700
Delaware	448000	483700	931700
District of Columbia	309400	348200	657600
Florida	9960700	10571600	20532300
Georgia	4870800	5250700	10121400
Hawaii	662300	693800	1356100
Idaho	842300	839800	1682100
Illinois	6104600	6392000	12496600
Indiana	3164400	3295100	6459400
Iowa	1501500	1544100	3045600
Kansas	1395900	1421600	2817600
Kentucky	2113500	2193600	4307100
Louisiana	2190000	2351600	4541500
Maine	636100	664100	1300200
Maryland	2838600	3054300	5892900
Massachusetts	3214300	3406200	6620600
Michigan	4758100	4962300	9720300
Minnesota	2701100	2745500	5446600
Mississippi	1385300	1499200	2884500
Missouri	2887400	3033900	5921300
Montana	507100	515400	1022600
Nebraska	926100	933200	1859200
Nevada	1464500	1482100	2946600
New Hampshire	643200	653700	1297000
New Jersey	4291100	4532700	8823900
New Mexico	1004700	1033400	2038200
New York	9346600	9969100	19315700
North Carolina	4789900	5158900	9948800
North Dakota	370400	355600	726000
Ohio	5517500	5806100	11323500
Oklahoma	1860500	1943200	3803700
Oregon	2007100	2055900	4063000
Pennsylvania	6049400	6339700	12389100
Rhode Island	493000	522900	1015900
South Carolina	2335100	2529500	4864600
South Dakota	419800	417200	837000
Tennessee	3164800	3373400	6538200
Texas	13597400	14023800	27621300
Utah	1529300	1518100	3047400
Vermont	295800	304400	600200
Virginia	3937000	4203700	8140700
Washington	3589700	3650100	7239800
West Virginia	863400	898700	1762100
Wisconsin	2792400	2850600	5643000
Wyoming	286600	276700	563300
